"BehaviorSpace results (NetLogo 6.0.4)"
"final project v11.nlogo"
"Number of industries"
"01/30/2019 23:28:04:677 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","32","0","32"
"[run number]","max-oil-demand","electricity-price-slider","percentage-port","number-of-industries","subsidiy-total","capacity-multiplicative","[step]","total-co2","total-stored-co2","total-emitted-co2","total-subsidy-port","total-subsidy-industries","total-electricity-use"
"1","10","10","50","10","150","1","120","17811.20000000004","3566.2","14245.00000000004","2268.75","26.25","1105590.9126582656"
"2","10","10","50","10","150","1","120","21683.200000000048","3582","18101.200000000048","2268.75","41.25","1400152.850158328"
"3","10","10","50","10","150","1","120","20908.799999999952","3582","17326.799999999952","2268.75","30","1406834.335398921"
"4","10","10","50","10","150","1","120","20521.600000000013","3582","16939.600000000013","2268.75","43.125","1325003.784157499"
"5","10","10","50","10","150","1","120","23232","3582","19650","2268.75","35.625","1548679.0994560823"
"6","10","10","50","25","150","1","120","54982.40000000011","3582","51400.40000000011","2268.75","33.75","3509036.977574039"
"7","10","10","50","25","150","1","120","48012.80000000007","3582","44430.80000000007","2268.75","34.5","3167661.262528676"
"8","10","10","50","25","150","1","120","41817.599999999904","3582","38235.599999999904","2268.75","29.25","2797765.785698753"
"9","10","10","50","25","150","1","120","41817.599999999904","3582","38235.599999999904","2268.75","29.25","2751200.466224145"
"10","10","10","50","25","150","1","120","56531.19999999989","3582","52949.19999999989","2268.75","38.25","3669455.2455895655"
"11","10","10","50","50","150","1","120","107254.3999999998","3582","103672.3999999998","2268.75","35.625","7062115.607768109"
"12","10","10","50","50","150","1","120","102608","3582","99026","2268.75","32.25","6639119.155645276"
"13","10","10","50","50","150","1","120","101059.1999999998","3582","97477.1999999998","2268.75","32.25","6603256.442168036"
"14","10","10","50","50","150","1","120","104931.19999999978","3582","101349.19999999978","2268.75","36.75","6938562.973439695"
"15","10","10","50","50","150","1","120","105318.39999999982","3582","101736.39999999982","2268.75","33.375","6871342.530178179"
