"BehaviorSpace results (NetLogo 6.0.4)"
"final project v11.nlogo"
"Percentage port"
"01/30/2019 22:14:27:728 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","32","0","32"
"[run number]","max-oil-demand","electricity-price-slider","percentage-port","number-of-industries","subsidiy-total","capacity-multiplicative","[step]","total-co2","total-stored-co2","total-emitted-co2","total-subsidy-port","total-subsidy-industries","total-electricity-use"
"1","10","10","0","25","150","1","120","46851.19999999994","0","46851.19999999994","0","0","0"
"2","10","10","0","25","150","1","120","49174.4000000001","0","49174.4000000001","0","0","0"
"3","10","10","0","25","150","1","120","49174.4000000001","0","49174.4000000001","0","0","0"
"4","10","10","0","25","150","1","120","46851.19999999994","0","46851.19999999994","0","0","0"
"5","10","10","0","25","150","1","120","44140.80000000005","0","44140.80000000005","0","0","0"
"6","10","10","10","25","150","1","120","44915.19999999996","3582","41333.19999999996","453.75","52.650000000000034","2936951.08326361"
"7","10","10","10","25","150","1","120","45302.4000000001","3582","41720.4000000001","453.75","56.70000000000004","2930434.6355779776"
"8","10","10","10","25","150","1","120","34848","3582","31266","453.75","45.90000000000003","2253248.53723653"
"9","10","10","10","25","150","1","120","56531.19999999989","3582","52949.19999999989","453.75","62.100000000000044","3594605.318287609"
"10","10","10","10","25","150","1","120","45689.599999999904","3582","42107.599999999904","453.75","59.40000000000004","2919378.7667108756"
"11","10","10","20","25","150","1","120","41817.599999999904","3582","38235.599999999904","907.5","38.400000000000006","2649445.605020378"
"12","10","10","20","25","150","1","120","51497.59999999989","3582","47915.59999999989","907.5","42.000000000000014","3378050.5903834365"
"13","10","10","20","25","150","1","120","46851.199999999946","3582","43269.199999999946","907.5","40.80000000000001","3100556.087758685"
"14","10","10","20","25","150","1","120","44528","3582","40946","907.5","45.60000000000002","2920032.378189809"
"15","10","10","20","25","150","1","120","52272","3582","48690","907.5","52.80000000000004","3435043.567879922"
"16","10","10","30","25","150","1","120","44140.80000000004","3582","40558.80000000004","1361.25","41.999999999999986","2895480.8011545273"
"17","10","10","30","25","150","1","120","51110.40000000011","3582","47528.40000000011","1361.25","48.29999999999997","3325283.1819350105"
"18","10","10","30","25","150","1","120","42204.80000000002","3582","38622.80000000002","1361.25","35.7","2667240.0660529244"
"19","10","10","30","25","150","1","120","50723.19999999992","3582","47141.19999999992","1361.25","46.199999999999974","3322832.7870537164"
"20","10","10","30","25","150","1","120","52272","3582","48690","1361.25","46.199999999999974","3424271.642889535"
"21","10","10","40","25","150","1","120","47625.5999999999","3582","44043.5999999999","1815","37.79999999999997","3150759.2296025204"
"22","10","10","40","25","150","1","120","50336","3582","46754","1815","44.99999999999996","3331456.51562285"
"23","10","10","40","25","150","1","120","40656","3582","37074","1815","29.69999999999998","2584365.416421147"
"24","10","10","40","25","150","1","120","53046.40000000011","3582","49464.40000000011","1815","41.39999999999996","3507688.197426616"
