"BehaviorSpace results (NetLogo 6.0.4)"
"final project v11.nlogo"
"Subsidy total"
"01/30/2019 22:17:18:530 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","32","0","32"
"[run number]","max-oil-demand","electricity-price-slider","percentage-port","number-of-industries","subsidiy-total","capacity-multiplicative","[step]","total-co2","total-stored-co2","total-emitted-co2","total-subsidy-port","total-subsidy-industries","total-electricity-use"
"1","10","10","50","25","0","1","120","51110.40000000011","0","51110.40000000011","0","0","0"
"2","10","10","50","25","0","1","120","48012.80000000007","0","48012.80000000007","0","0","0"
"3","10","10","50","25","0","1","120","42979.19999999996","0","42979.19999999996","0","0","0"
"4","10","10","50","25","0","1","120","49174.4000000001","0","49174.4000000001","0","0","0"
"5","10","10","50","25","0","1","120","49561.59999999989","0","49561.59999999989","0","0","0"
"6","10","10","50","25","25","1","120","57692.80000000012","3582","54110.80000000012","378.125","6.125","3823058.878027625"
"7","10","10","50","25","25","1","120","51110.40000000011","3582","47528.40000000011","378.125","4.625","3360276.1362639368"
"8","10","10","50","25","25","1","120","55369.59999999989","3582","51787.59999999989","378.125","6.625","3594333.6527722008"
"9","10","10","50","25","25","1","120","41817.599999999904","3582","38235.599999999904","378.125","5.5","2765629.826383928"
"10","10","10","50","25","25","1","120","48787.19999999993","3582","45205.19999999993","378.125","5.375","3136931.873220994"
"11","10","10","50","25","50","1","120","45302.4000000001","3582","41720.4000000001","756.25","11.25","2976061.614511053"
"12","10","10","50","25","50","1","120","48400","3582","44818","756.25","9.75","3133695.931854988"
"13","10","10","50","25","50","1","120","46464","3582","42882","756.25","11.75","2972657.869242631"
"14","10","10","50","25","50","1","120","49561.59999999989","3582","45979.59999999989","756.25","11","3297047.584685299"
"15","10","10","50","25","50","1","120","46464","3582","42882","756.25","10.5","3000740.9085801374"
"16","10","10","50","25","75","1","120","42204.80000000002","3582","38622.80000000002","1134.375","12.375","2669720.663943879"
"17","10","10","50","25","75","1","120","51110.40000000011","3582","47528.40000000011","1134.375","13.875","3329033.31091713"
"18","10","10","50","25","75","1","120","43366.400000000096","3582","39784.400000000096","1134.375","13.5","2852082.4390472546"
"19","10","10","50","25","75","1","120","54982.40000000011","3582","51400.40000000011","1134.375","17.25","3499770.492759091"
"20","10","10","50","25","75","1","120","45302.4000000001","3582","41720.4000000001","1134.375","16.5","2907325.770930764"
"21","10","10","50","25","100","1","120","52272","3582","48690","1512.5","22","3352695.7820373024"
"22","10","10","50","25","100","1","120","48400","3582","44818","1512.5","20.5","3093440.4632807253"
"23","10","10","50","25","100","1","120","45689.5999999999","3582","42107.5999999999","1512.5","20.5","2966626.811573047"
"24","10","10","50","25","100","1","120","48012.80000000007","3582","44430.80000000007","1512.5","20.5","3130234.4357990734"
"25","10","10","50","25","100","1","120","46464","3582","42882","1512.5","22.5","2975638.3199841026"
"26","10","10","50","25","125","1","120","50723.19999999992","3582","47141.19999999992","1890.625","31.875","3348141.6184041314"
"27","10","10","50","25","125","1","120","49948.800000000076","3582","46366.800000000076","1890.625","24.375","3228711.0643762667"
"28","10","10","50","25","125","1","120","57305.59999999988","3582","53723.59999999988","1890.625","33.125","3705270.355812023"
"29","10","10","50","25","125","1","120","48787.19999999993","3582","45205.19999999993","1890.625","30","3221086.4078600165"
"30","10","10","50","25","125","1","120","52659.19999999991","3582","49077.19999999991","1890.625","27.5","3382314.974900988"
"31","10","10","50","25","150","1","120","42592","3582","39010","2268.75","36","2800972.323515738"
"32","10","10","50","25","150","1","120","59241.59999999988","3582","55659.59999999988","2268.75","38.25","3844894.1046954207"
"33","10","10","50","25","150","1","120","44915.19999999995","3582","41333.19999999995","2268.75","29.25","2929144.139113844"
"34","10","10","50","25","150","1","120","52272","3582","48690","2268.75","33","3459078.0435167165"
"35","10","10","50","25","150","1","120","41430.400000000096","3582","37848.400000000096","2268.75","27","2716173.6756364265"
"36","10","10","50","25","175","1","120","45689.5999999999","3582","42107.5999999999","2646.875","34.125","2938994.9226964423"
"37","10","10","50","25","175","1","120","47625.5999999999","3582","44043.5999999999","2646.875","38.5","3041144.342156461"
"38","10","10","50","25","175","1","120","40268.799999999996","3582","36686.799999999996","2646.875","29.75","2601021.5262625176"
"39","10","10","50","25","175","1","120","46464","3582","42882","2646.875","41.125","3069002.6602669065"
"40","10","10","50","25","175","1","120","47238.4000000001","3582","43656.4000000001","2646.875","42.875","3064584.300852558"
"41","10","10","50","25","200","1","120","48787.19999999993","3582","45205.19999999993","3025","42","3217174.271333509"
"42","10","10","50","25","200","1","120","56531.19999999989","3582","52949.19999999989","3025","59","3748712.9247391904"
"43","10","10","50","25","200","1","120","50336","3582","46754","3025","45","3304287.2327983784"
"44","10","10","50","25","200","1","120","49174.4000000001","3582","45592.4000000001","3025","43","3180283.9386226963"
"45","10","10","50","25","200","1","120","43366.400000000096","3582","39784.400000000096","3025","45","2779515.305918887"
