"BehaviorSpace results (NetLogo 6.0.4)"
"final project v11.nlogo"
"capacity"
"01/30/2019 23:39:29:463 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","32","0","32"
"[run number]","max-oil-demand","electricity-price-slider","percentage-port","number-of-industries","subsidiy-total","capacity-multiplicative","[step]","total-co2","total-stored-co2","total-emitted-co2","total-subsidy-port","total-subsidy-industries","total-electricity-use"
"1","10","10","50","25","150","1","120","44915.19999999995","3582","41333.19999999995","2268.75","36","2928783.787101423"
"2","10","10","50","25","150","1","120","57305.59999999988","3582","53723.59999999988","2268.75","45","3770184.4505351093"
"3","10","10","50","25","150","1","120","41430.400000000096","3582","37848.400000000096","2268.75","25.5","2717977.604749034"
"4","10","10","50","25","150","1","120","37558.40000000008","3582","33976.40000000008","2268.75","24.75","2414735.771188988"
"5","10","10","50","25","150","1","120","63500.80000000014","3582","59918.80000000014","2268.75","42.75","4069133.714410211"
"6","10","10","50","25","150","2","120","38332.79999999994","7154.8","31177.999999999935","2268.75","24","2544364.552384396"
"7","10","10","50","25","150","2","120","51497.59999999989","7164","44333.59999999989","2268.75","33","3306922.80006776"
"8","10","10","50","25","150","2","120","54982.40000000011","7164","47818.40000000011","2268.75","39.75","3578638.483278117"
"9","10","10","50","25","150","2","120","53046.40000000011","7164","45882.40000000011","2268.75","30.75","3450339.9624743857"
"10","10","10","50","25","150","2","120","55756.800000000105","7164","48592.800000000105","2268.75","31.5","3566957.0837864187"
"11","10","10","50","25","150","3","120","55369.59999999989","10714.174983358324","44655.425016641566","2268.75","37.5","3597306.8572317734"
"12","10","10","50","25","150","3","120","60790.40000000012","10746","50044.40000000012","2268.75","41.25","3989664.245887308"
"13","10","10","50","25","150","3","120","53433.59999999989","10697.63482646245","42735.96517353744","2268.75","35.25","3553699.399385647"
"14","10","10","50","25","150","3","120","61177.59999999988","10746","50431.59999999988","2268.75","40.5","4031127.2684601163"
"15","10","10","50","25","150","3","120","41430.400000000096","10599.4","30831.000000000095","2268.75","32.25","2745731.4645978785"
"16","10","10","50","25","150","4","120","51497.599999999875","13748.859315307556","37748.74068469232","2268.75","36","3332339.9700851557"
"17","10","10","50","25","150","4","120","50723.19999999997","13675.847758640404","37047.352241359564","2268.75","33","3315728.8128584814"
"18","10","10","50","25","150","4","120","45302.40000000008","13101.090402107779","32201.3095978923","2268.75","30.75","2994670.0851229406"
"19","10","10","50","25","150","4","120","47625.599999999875","13361.777960353653","34263.82203964622","2268.75","30","3141239.9097456313"
"20","10","10","50","25","150","4","120","54208","14064.718528878184","40143.281471121816","2268.75","33.75","3568585.6669520037"
"21","10","10","50","25","150","5","120","50335.99999999998","15660.279896751466","34675.72010324851","2268.75","33.75","3176747.2788006114"
"22","10","10","50","25","150","5","120","49948.8","15655.608737262126","34293.19126273787","2268.75","37.5","3228310.944014632"
"23","10","10","50","25","150","5","120","54982.40000000009","16217.949833583245","38764.45016641684","2268.75","37.5","3628833.8912982233"
"24","10","10","50","25","150","5","120","45302.40000000007","14868.471340310172","30433.928659689893","2268.75","30","2949289.3297991473"
"25","10","10","50","25","150","5","120","49561.59999999991","15639.800000000005","33921.79999999991","2268.75","32.25","3243092.8097275314"
