"BehaviorSpace results (NetLogo 6.0.4)"
"final project v11.nlogo"
"electricity price"
"01/30/2019 23:17:44:291 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","32","0","32"
"[run number]","max-oil-demand","electricity-price-slider","percentage-port","number-of-industries","subsidiy-total","capacity-multiplicative","[step]","total-co2","total-stored-co2","total-emitted-co2","total-subsidy-port","total-subsidy-industries","total-electricity-use"
"1","10","1","50","25","150","1","118","41536","8386","33150","2212.5","63.75","3671948.032269272"
"2","10","1","50","25","150","1","118","40403.20000000009","8386","32017.200000000088","2212.5","65.25","3577251.8497134587"
"3","10","1","50","25","150","1","118","41536","8386","33150","2212.5","61.5","3615973.037790708"
"4","10","1","50","25","150","1","118","44934.4","8386","36548.4","2212.5","75.75","3807935.4409925877"
"5","10","1","50","25","150","1","118","44556.7999999999","8386","36170.7999999999","2212.5","77.25","3954975.5626642765"
"6","10","10","50","25","150","1","120","40656","3582","37074","2268.75","30.75","2575984.89454567"
"7","10","10","50","25","150","1","120","54595.199999999895","3582","51013.199999999895","2268.75","36.75","3562890.2072235304"
"8","10","10","50","25","150","1","120","48400","3582","44818","2268.75","30","3136481.099218201"
"9","10","10","50","25","150","1","120","55369.59999999989","3582","51787.59999999989","2268.75","35.25","3615335.8480969816"
"10","10","10","50","25","150","1","120","53046.40000000011","3582","49464.40000000011","2268.75","36.75","3416370.085254261"
"11","10","50","50","25","150","1","120","45689.5999999999","1151","44538.5999999999","2268.75","18.75","1861184"
"12","10","50","50","25","150","1","120","45689.5999999999","1151","44538.5999999999","2268.75","18.75","1880320"
"13","10","50","50","25","150","1","120","49948.80000000008","1151","48797.80000000008","2268.75","18.75","2005120"
"14","10","50","50","25","150","1","120","41430.400000000096","1151","40279.400000000096","2268.75","18.75","1680640"
"15","10","50","50","25","150","1","120","51110.40000000011","1151","49959.40000000011","2268.75","18.75","2113696"
"16","10","75","50","25","150","1","120","57692.80000000012","775","56917.80000000012","2268.75","18.75","2019264"
"17","10","75","50","25","150","1","120","47625.5999999999","775","46850.5999999999","2268.75","18.75","1674400"
"18","10","75","50","25","150","1","120","39107.2","775","38332.2","2268.75","18.75","1329120"
"19","10","75","50","25","150","1","120","44528","775","43753","2268.75","18.75","1543360"
"20","10","75","50","25","150","1","120","49561.59999999989","775","48786.59999999989","2268.75","18.75","1725568"
"21","10","100","50","25","150","1","120","46464","551","45913","2268.75","18.75","1405664"
"22","10","100","50","25","150","1","120","39881.59999999991","551","39330.59999999991","2268.75","18.75","1206400"
"23","10","100","50","25","150","1","120","39107.2","551","38556.2","2268.75","18.75","1186432"
"24","10","100","50","25","150","1","120","44140.80000000005","551","43589.80000000005","2268.75","18.75","1331200"
"25","10","100","50","25","150","1","120","49174.4000000001","551","48623.4000000001","2268.75","18.75","1476800"
