"BehaviorSpace results (NetLogo 6.0.4)"
"final project v11.nlogo"
"experiment"
"01/30/2019 23:38:28:289 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","32","0","32"
"[run number]","max-oil-demand","electricity-price-slider","percentage-port","number-of-industries","subsidiy-total","capacity-multiplicative","[step]","total-co2","total-stored-co2","total-emitted-co2","total-subsidy-port","total-subsidy-industries","total-electricity-use"
"1","10","10","50","25","150","1","120","49948.800000000076","3582","46366.800000000076","2268.75","34.5","3299500.001649825"
"2","10","10","50","25","150","1","120","57305.59999999989","3582","53723.59999999989","2268.75","39.75","3593929.526954925"
"3","10","10","50","25","150","1","120","57692.80000000012","3582","54110.80000000012","2268.75","34.5","3735839.492944915"
"4","10","10","50","25","150","1","120","49948.800000000076","3582","46366.800000000076","2268.75","31.5","3200686.9418706475"
"5","10","10","50","25","150","1","120","48400","3582","44818","2268.75","31.5","3191455.4058737503"
"6","10","10","50","25","150","2","120","50336","7164","43172","2268.75","30","3339589.6519049127"
"7","10","10","50","25","150","2","120","50723.199999999924","7164","43559.199999999924","2268.75","32.25","3339342.906252037"
"8","10","10","50","25","150","2","120","43753.599999999904","7164","36589.599999999904","2268.75","28.5","2835194.35065338"
"9","10","10","50","25","150","2","120","45689.599999999904","7164","38525.599999999904","2268.75","35.25","2977846.27196144"
"10","10","10","50","25","150","2","120","42204.799999999996","7164","35040.799999999996","2268.75","36.75","2720369.8185381843"
"11","10","10","50","25","150","3","120","47625.5999999999","10650.387491679163","36975.212508320736","2268.75","31.5","3164920.2460980536"
"12","10","10","50","25","150","3","120","52272","10688.344702849929","41583.65529715007","2268.75","39","3414852.0823597587"
"13","10","10","50","25","150","3","120","48012.800000000054","10653.8","37359.00000000005","2268.75","28.5","3109259.7007541433"
"14","10","10","50","25","150","3","120","44915.19999999999","10627.987491679161","34287.21250832083","2268.75","26.25","2912799.799003045"
"15","10","10","50","25","150","3","120","48400","10656.574983358325","37743.425016641675","2268.75","29.25","3183845.913281148"
"16","10","10","50","25","150","4","120","48787.19999999997","13488.07478365821","35299.12521634176","2268.75","39","3187100.8660688247"
"17","10","10","50","25","150","4","120","39881.599999999926","12532.54056852454","27349.05943147539","2268.75","29.25","2579382.97325749"
"18","10","10","50","25","150","4","120","49561.59999999988","13569.565452032815","35992.034547967065","2268.75","38.25","3311707.4495159276"
"19","10","10","50","25","150","4","120","42979.200000000055","12861.090402107782","30118.109597892275","2268.75","27.75","2822598.708775537"
"20","10","10","50","25","150","4","120","48012.80000000002","13399.118528878198","34613.68147112182","2268.75","32.25","3091702.5905985697"
"21","10","10","50","25","150","5","120","56143.99999999996","16339.977960353648","39804.02203964631","2268.75","39.75","3586601.8426592806"
"22","10","10","50","25","150","5","120","54595.199999999946","16172.081137049081","38423.11886295087","2268.75","36.75","3529427.583235152"
"23","10","10","50","25","150","5","120","34460.79999999993","12634.085271374463","21826.714728625466","2268.75","23.25","2239879.0368684153"
"24","10","10","50","25","150","5","120","56918.400000000096","16426.799866866597","40491.6001331335","2268.75","42.75","3729211.9139061673"
"25","10","10","50","25","150","5","120","48787.20000000003","15544.477760653534","33242.722239346505","2268.75","28.5","3208795.4893730627"
