"BehaviorSpace results (NetLogo 6.0.4)"
"final project v11.nlogo"
"oil demand"
"01/30/2019 23:14:59:483 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","32","0","32"
"[run number]","max-oil-demand","electricity-price-slider","percentage-port","number-of-industries","subsidiy-total","capacity-multiplicative","[step]","total-co2","total-stored-co2","total-emitted-co2","total-subsidy-port","total-subsidy-industries","total-electricity-use"
"1","5","10","50","25","150","1","120","25168","3582","21586","2268.75","18.75","1607424"
"2","5","10","50","25","150","1","120","25942.400000000045","3582","22360.400000000045","2268.75","18.75","1638208"
"3","5","10","50","25","150","1","120","24393.599999999966","3582","20811.599999999966","2268.75","18.75","1515072.0000000002"
"4","5","10","50","25","150","1","120","23232","3582","19650","2268.75","18.75","1502176"
"5","5","10","50","25","150","1","120","25168","3582","21586","2268.75","18.75","1648192"
"6","10","10","50","25","150","1","120","46851.199999999946","3582","43269.199999999946","2268.75","32.25","3122908.082520622"
"7","10","10","50","25","150","1","120","45689.5999999999","3582","42107.5999999999","2268.75","31.5","3015633.327375122"
"8","10","10","50","25","150","1","120","40268.799999999996","3582","36686.799999999996","2268.75","30","2644719.647823841"
"9","10","10","50","25","150","1","120","42204.80000000002","3582","38622.80000000002","2268.75","27","2760854.6965599535"
"10","10","10","50","25","150","1","120","53433.59999999989","3582","49851.59999999989","2268.75","35.25","3491667.8049635584"
"11","15","10","50","25","150","1","120","70857.5999999999","3582","67275.5999999999","2268.75","60.75","4456239.748470049"
"12","15","10","50","25","150","1","120","73568","3582","69986","2268.75","60.75","4417384.747183904"
"13","15","10","50","25","150","1","120","72406.40000000008","3582","68824.40000000008","2268.75","65.25","4556807.381104853"
"14","15","10","50","25","150","1","120","74729.59999999995","3582","71147.59999999995","2268.75","68.25","4674853.011341371"
"15","15","10","50","25","150","1","120","65049.59999999988","3582","61467.59999999988","2268.75","51","4057708.9418598823"
"16","20","10","50","25","150","1","120","108028.80000000022","3582","104446.80000000022","2268.75","114","5998238.340142316"
"17","20","10","50","25","150","1","120","97574.39999999985","3582","93992.39999999985","2268.75","90","5380339.246907561"
"18","20","10","50","25","150","1","120","104931.19999999978","3582","101349.19999999978","2268.75","105","5646434.529947929"
"19","20","10","50","25","150","1","120","86732.80000000019","3582","83150.80000000019","2268.75","88.5","4941654.602173335"
"20","20","10","50","25","150","1","120","100284.8000000002","3582","96702.8000000002","2268.75","91.5","5493193.236061912"
